ulasan,makanan,minuman,pelayanan,tempat,harga
"
Rekomendasi tempat nongkrong dengan harga pas dikantong, ciri khas kuliner olahan mie instan dengan bumbu khas...masih ada lagi menu lain: puding telur setengah matang, teh tarik dan lainnya  ",Netral,Netral,Netral,Netral,Positif
"
Tempat'a enak, lumayan nyaman (khusus'a tempat yg baru). Tetapi utk menu tidak ada, jd topping apa yg mau d pilih sdkit merabaÂ², apalagi bagi pengunjung yg pertama x kemari. Bingung pasti.  ",Netral,Netral,Negatif,Positif,Netral
"
Rasa mienya sangat enak, apalagi ditemani dengan telur ayam kampung setengah matang, sangat direkomendasi utk sarapan pagi serta pelayanannya ramah dan tidak membutuhkan waktu yang lama dalam proses penyajiannya  ",Positif,Netral,Positif,Netral,Netral
"
lumayan sihh tp dikit mie nya, ada tempat lain yg harga 10rb mie nya isi dua, rasa yaa sesuai selera  ",Netral,Netral,Netral,Netral,Netral
"
Teh tarik & indomie Bangladesh, perpaduan ciamik d lidah  ",Positif,Positif,Netral,Netral,Netral
"
pelayanannya jelek banget, mana sombong lagi, pesanan lama datang di tanya baik baik jawabnya ngotot, kalau bedua ga di ladenin,  baru dateng makanannya, saosnya di ambil dari meja buat dikasi ke yg lain padahal saosnya juga ada di meja kosong parah banget sumpah  ",Netral,Netral,Negatif,Netral,Netral
"
Mayan enak dan free parkir (tp gatau juga ya apa tk parkirnya tah kemana)Yg jualan rapi bersih, pada pake sepatu kets ðŸ‘�  ",Positif,Netral,Positif,Netral,Netral
"
Pas saya datang, rasanya biasa saja. Spesial bangladeshnya saya kurang paham bedanya dimana, krn berasa kyk indomi klu kita masak kekeringan aja  ",Netral,Netral,Netral,Netral,Netral
"
Pelayan sangat amat tidak ramah, lama banget, sejam ga dateng dateng, es batu nya dimasukin ke gelas pake tangan , ga ada kata ""maaf"" dan akhirnya kita ga jadi makan  ",Netral,Negatif,Negatif,Netral,Netral
"
Suka teh tariknya, Juru parkirnya amanah.. 3 jam kunci motor saya tetinggal . Dgn sabar bpk juru parkir menunggu saya sadar …Sehat2 bpk juru parkir  ",Netral,Positif,Positif,Netral,Netral
"
Indomie bangladesh nya enak tpi porsinya mungkin bisa lebih banyak lgi. Soalnya mangkoknya kcil bgt  ",Netral,Netral,Netral,Netral,Netral
"
Pelayanannya sangat cepat dan ramah. Mie Banglades nya enak banget. Tempatnya ramai jika di weekend, tapi tersedia banyak tempat duduk. Harganya juga sangat terjangkau.  ",Positif,Netral,Positif,Positif,Positif
"
Indomie dengan bumbu aceh paling ok di medan.  ",Positif,Netral,Netral,Netral,Netral
"

oke lah, makanan enak....tapi kalau pesan harus 2-3 kali bilang kalau mau pesan baru dilayani ",Positif,Netral,Negatif,Netral,Netral
"
Karena viral akhirnya jauh2 makan Indomie ke tempat ini ... Pelayanannya bagus , tpi rasanya lumayan lah ...  ",Netral,Netral,Positif,Netral,Netral
"
tempat menikmati mie Bangladesh dengan telur ayam setengah matang dan minuman khas teh tarik wajib di cicipi jika datang ke kota Medan dan sangat cocok jika datang bersama keluarga.  ",Positif,Positif,Netral,Netral,Netral
"
Enak, pelayanan cepat, parkir luas, rempahnya berasa.  ",Positif,Netral,Positif,Netral,Netral
"
Mie Bangladesh : indomie goreng dimasak nyemek pake bumbu rahasia. Buat yg suka makanan yg tema arabian pasti cocok.. overall enak ",Positif,Netral,Netral,Netral,Netral
"
harga dibilang mahal tidak dibilang murah tidak, rasa enak, pelayanan cepat tp kebersihan terutama lantai perlu diperhatikan  ",Positif,Netral,Positif,Negatif,Netral
"
Tempatnya sangat ramai, pelayannya seperti sedang main games Dinner Dash,.Menu favorit disini Mie Bangladesh.  ",Positif,Netral,Positif,Positif,Netral
"
kemari karena penasaran sama mie beceknya.. mie bangladesh... rasanya pedes... enak... keringetan... tempatnya rame.. pelayanannya ramah... cepet juga... jos lah pokoknya..  ",Positif,Netral,Positif,Positif,Netral
"
Kayaknya pas dulu makan rasanya enak, terakhir ke sana malam mungkin karna udah rame banget, buat pesanannya cepet2 kualitas agak nurun. Dapat mie yang terlalu matang jd udh agak lembek, bumbunya jg gak sekuat dan terasa pas dulu makan tapi masih worth it menurutku.  ",Netral,Netral,Netral,Netral,Netral
"
untuk pencinta indomie wajib coba ini kalau ke medan, indomie bangladesh dengan bumbu rempah yang nggak terlalu strong di kombinasi sama telur 1/2 matang udah gak ada lawan enaknya  ",Positif,Netral,Netral,Netral,Netral
"
salah satu warmindo terkenal di kota Medan. Indomie yg dimasak dengan bumbu rempah2 khas aceh sih sebenernya. Rasanya enak, & tempatnya jg strategis di daerah perkantoran & sekolah elit Medan. Gak heran warung ini sangat2 eksis. Pelayanan cepat & ramah, ada menu tambahan jus,gorengan & sate kerang.  ",Positif,Netral,Positif,Positif,Netral
"
Spesialis indomie. Harga murah, rasa mantap. Selalu rame pas weekend. Selain indomie, ada juga nasi prang, sate kerang, sate telur, puding telur, telur asin, ifumie, dll. Favorit: Mi Bangladesh campur puding telur.  ",Positif,Netral,Netral,Positif,Positif
"
Kesini krna penasaran...trnyata..hemm enak,,tapi ya biasa aja..sangat rame yg mngakibatkan pelayanan agak lambat...tp bisa dimaklumi..kamar mandi untuk pngunjung bersih...hrga standar...  ",Netral,Netral,Negatif,Positif,Netral
"
Rasa indomie nya enaakk banget, apalagi indomie Bangladesh nya.. Nasi kucing, TST, dll ada disini dgn rasa yg maknyuss.. Harga nya bersahabat. Lokasi strategis berada di kawasan bisnis multatuli Medan. Gak nyesel deh kalo singgah kemari.  ",Positif,Netral,Netral,Positif,Positif
"
Untuk pecinta indomi kuah garis keras . Disini tidak terlalu pas. Namun jika pecinta indomi nyemek . Ha ini dia lapaknya. Rasa indomi dengan bumbu khas india serta kuah yang ""becek"" atau dimasak ""nyemek"" kata orang medan , memberikan rasa khas tersendiri. Dengan segelas teh tarik dingin . Pas  mantap rasanya.  ",Positif,Positif,Netral,Netral,Netral
"
Tempatnya selalu ramai, dan makanannya memang enak.  ",Positif,Netral,Netral,Positif,Netral
"
Mie bangladesh debezzz. Tp moe kuah nya jga ga kalah debez.  ",Positif,Netral,Netral,Netral,Netral
"
Warkop agen menyediakan berbagai olahan mie. Mie Bangladesh yang disajikan enak. Terdapat cemilan kue Bugis isi kelapa, kecil tapi enak. Harga mie 13k dan kue Bugis 3k. Disarankan datang ketika siang atau sore agar tidak terlalu ramai. Pelayanan makan cepat.  ",Positif,Netral,Positif,Netral,Netral
"
Anak Medan wajib kesini memang. Tapiii kalo udah malem rame banget sampai sesak rasanya. Cuma buat makan bukan nongkrong soalnya rame yg antri. Soal rasa? Jangan lah ragu kelen.  ",Positif,Netral,Netral,Negatif,Netral
"
Endesssss dan bisa request mau telurnya di pisah atau di gabung, mau tambah cabe rajang atau engga ",Positif,Netral,Netral,Netral,Netral
"
Menu andalannya indomie bangladesh, indomi nyemek enak bumbunya terasa beda dari mi aceh biasa. Teh tareknya bener2 ditarek enak.  ",Positif,Positif,Netral,Netral,Netral
"
Tempat nongkrong paling rame kalau malam. Disini porsi pagi hari lebih banyak dari malam hari, kalau malam hari rekomen pesen jumbo aja. Saran kalau datangnya malam hari, pesen mie kuah atau nyemek, karena biasanya yang goreng sudah di masak dahulu jadi tidak hangat lagi.  ",Positif,Netral,Netral,Netral,Netral
"
mie Bangladesh lumayan enak dan murah, teh tariknya juga lezat  ",Positif,Positif,Netral,Netral,Positif
"
Kesini bersama rekan kerja utk pertama kali, pesan mie banglades dan teh tarik ulululuuu endul bgttt, Pelayanannya jg super cepat, pdhl kita rame2..  ",Positif,Positif,Positif,Netral,Netral
"
Enak bngt mie bangladeshnya. Cuma tempatnya rame bngt, kalau kesini sendiri aku insecure :(  ",Positif,Netral,Netral,Negatif,Netral
"
Mantaaab kaaaliii baaahh nggak nyesal lah sama rasa makanan dan minumannya yang enak dan maknyuusss!  ",Positif,Positif,Netral,Netral,Netral
"
Enak kerangnya... Kurang pedas dan sedikit asin  ",Netral,Netral,Netral,Netral,Netral
"
kali pertama cobain mi bangladese nya, ternyata over rated sih, berasa indomi engga, berasa mi aceh jg engga, untung aja harganya murah, jd okelah worth to try but not recommended yah...  ",Negatif,Netral,Netral,Netral,Positif
"
Ini adalah warung yang jualan mie instan terbaek yg pernah gue coba !!! Mie bangladesh nya tuh yaa... Eeeuuhh... Cobain deh.. Enak..gurih manis asin pedesnya pas..bikin anget badan. Cucok lah pokoknya..kalo kesini rame terus.. Karena enak dan murmer shay.. Tetep perhatikan prokes ya  ",Positif,Netral,Netral,Positif,Positif
"
Harga terjangkau, enak, parkir oke ",Positif,Netral,Netral,Positif,Positif
"
Ciri khas dengan indomie bangladeshnya yg mantul ",Positif,Netral,Netral,Netral,Netral
"
Bagi penikmat indomie langsung aja kesini. Dijamin bakal balik lagi. ",Positif,Netral,Netral,Netral,Netral
"
Makanan enak dan mantap pelayanannya ",Positif,Netral,Positif,Netral,Netral
"
enak..paling suka indomie kuahnya ",Positif,Netral,Netral,Netral,Netral
"
Menunya sebagian cocok dengan lidahku, sebagian lagi gak ",Netral,Netral,Netral,Netral,Netral
"
AlhamdulillahEnak mantapSenyum nya juga mantapBaarakallahu fiikum ",Positif,Netral,Netral,Netral,Netral
"

Ga ada rasa indomi yg enak lg selain agem  ",Positif,Netral,Netral,Netral,Netral
"
Tempatnya assik untuk ngobrol bersama keluarga.. makanannya enak..  pegawainya ramah.. paling penting...... harganya itu !!!Murah meriah... !!!! Hahahaaa   ",Positif,Netral,Positif,Positif,Positif
"
Indomie Bangladesh terbaik sejauh ini  ",Positif,Netral,Netral,Netral,Netral
"
Makanan enak cm kedainya Agak Panas dan sehrs nya  di sediakan Kipas Angin supaya tdk bgt terasa panas.  ",Positif,Netral,Netral,Negatif,Netral
"
Rame banget, menu favorit ya indomie bangladesh nya.  ",Positif,Netral,Netral,Positif,Netral
"
Masakannya enak..Sayangnya terlalu ramai..Harus antri klo mknnya pas hr sabtu/ libur.  ",Positif,Netral,Negatif,Netral,Netral
"
Ya terkenal mie bangladesnya dengan bumbu khasnya..Tapi rasanya tidak lah enak seperti di awal dahulu..  ",Netral,Netral,Netral,Netral,Netral
"
Kelebihan: pelayanan cepatKekurangan: mie nya kurang asin ( kurang enak/ biasa aja) , teh tariknya kurang susu  ",Negatif,Negatif,Positif,Netral,Netral
"

Mie Bangladesh yang sangat enak Tapi rasa nya terkadang agak kurang Karna masak nya langsung banyak  ",Netral,Netral,Netral,Netral,Netral
"
Diajakin temen org medan buat makan di sini? Indomienya mantap, harga oke 20 rb dapet yg jumbo  ",Positif,Netral,Netral,Netral,Positif
"
Untuk pecinta Kari sangat rekomended. Tapi kurang cocok di lidah saya. Masih Enak Indomie original.  ",Netral,Netral,Netral,Netral,Netral
"
Penasaran dari Video Ig katanya enak, pas nyoba kita berempat sepakat rasanya biasa aja  ",Netral,Netral,Netral,Netral,Netral
"
Indomie kuahnya berbeda di warkop manapun,dijamin ga mengecewakan  ",Positif,Netral,Netral,Netral,Netral
"
Kalau sudah rame pengunjung, panas dan gerah disini.Saran sih, kasih space atau tambah kipas angin  ",Netral,Netral,Netral,Negatif,Netral
"
Aku bukan kesini.Tapi ke warkop iwan disebelahnya.Warkop iwan paten n ramah.Warkop agem tak ramah.  ",Netral,Netral,Negatif,Netral,Netral
"
Still the best indomie in town, sudah keliling medan coba hampir semua warkop & restoran indomie, tetap agam senyum yang paling cocok di lidah. Rempahnya paling pas.  Selalu balik dan balik lagi kesini  ",Positif,Netral,Netral,Netral,Netral
"
Mampir kesini karena pengen nyobain yang viral. Rasanya biasa aja. Tempatnya juga kotor. Tidak sesuai dengan yang diharapkan  ",Netral,Netral,Netral,Negatif,Netral
"
Makan Indomie cepat dan tepat pesanannya..plus manis senyum yg melayani.  ",Positif,Netral,Positif,Netral,Netral
"
Ciri khas dari warkop 1 ini adalah Mie Bangladesh nya yg tidak usah di ragukan lagi rasanya  ",Positif,Netral,Netral,Netral,Netral
"
Best warmindo in town! Definitely a must try! Pelayanannya juga sangat baik, ramah ramah.  ",Positif,Netral,Positif,Netral,Netral
"
Karyawan si kriting sok sombong. Pdhl cuma pegawai. Kugaji pun bisa 12 x lipat.  ",Netral,Netral,Negatif,Netral,Netral
"
Pengunjung nya ramai dan rasa makanan nya enak, pelayanan Ramah ",Positif,Netral,Positif,Netral,Netral
"
Pelayanannya lama, sudah pesan sampai 2 kali tetapi makanan tidak kunjung datang.  ",Netral,Netral,Negatif,Netral,Netral
"
Enak mantap la untuk anak jaman sekarang nongkrong.  ",Positif,Netral,Netral,Netral,Netral
"
Ini kali pertama makan Mie bangladesh dikota Medan..Sangat cocok di lidah orang aceh terutamaBumbu rempahnya sangat terasaRecommended balik kesini ðŸ˜Š  ",Positif,Netral,Netral,Netral,Netral
"
mau libur atau ga libur selalu ramai aja tempatnya dan harus nunggu utk kebagian tempatnya .... rasa nya pun mantap ga mahal2 sekali  ",Positif,Netral,Netral,Netral,Positif
"
Makananya mantab2, murah meriah  ",Positif,Netral,Netral,Netral,Positif
"
Mie bangladeshnya enak..Sate kerangnya rekomen.. ",Positif,Netral,Netral,Netral,Netral
"
Bangladesh ya masih seperti yg dulu. Tapi Indomie gorengnya beda. Harga merakyat.  ",Netral,Netral,Netral,Netral,Positif
"
Selalu full meskipun lg pandemik.  Indomie di sini lbh pedes buat gua, tapi katanya orang-orang sih ga pedes. Paling enak makan dengan   poding telor.  ",Positif,Netral,Netral,Netral,Netral
"
Menunya indomie goreng dan mie bangladesh mantap. Selain itu juga ada nasi goreng. Setiap hari selalu ramai.  ",Positif,Netral,Netral,Netral,Netral
"
Tempat yg sering di buru foodlover pecinta Indomie, rasanya enak sih,  pelayanan nya cepat jg gk lama kita nunggu ",Positif,Netral,Positif,Netral,Netral
"
rasanya enak..bawang gorengnya banyak..n pas..ga terlalu pedas juga..pegawai2 nya juga ramah ..overall enak n murah harganya  ",Positif,Netral,Positif,Netral,Positif
"
Tempat makan indomie yg mantap..cuma sekarang dah banyak yg lebih enak menurut saya  ",Netral,Netral,Netral,Netral,Netral
"
kuliner nya seru.. enak enak makanan nya. pelayanan ramah. mesti mampir ke sini kalau singgah di kota medan.  ",Positif,Netral,Positif,Netral,Netral
"
Yang buat mie ribut kali suaranya kencang2..sampe sakit kuping, Pelayanan cepat  ",Netral,Netral,Netral,Netral,Netral
"
Makanan lumayan, Suasananya ajj kurang Banyak tunawisma yang minta2 nya maksa  ",Positif,Netral,Netral,Negatif,Netral
"
Just.. Nothing special. Rame karena banyak youtuber2 yang penasaran dtg kesini dan buka 24 jam. Utk ukuran indomie sgitu agak overprice sih.  ",Netral,Netral,Netral,Netral,Negatif
"
Pelayanan tidak ramah, Indomie Banglades (menu yang paling rekomen) nya ternyata tidak enak. Tempat nya ramai, harga nya murah.Intinya, tidak se enak yang di cerita kan dan dibayangkan.  ",Negatif,Netral,Negatif,Netral,Positif
"
Indomie nya terbaik, cuma sate kerang nya skrng kurang besar ga kyk dulu,  ",Netral,Netral,Netral,Netral,Netral
"
Indomie Bangladesh ( Becek ) plus puding telur. Kenikmatan hakiki ",Positif,Netral,Netral,Netral,Netral
"
Pertama kali nyobain indomie ala warung ini. Dan ternyata emg enak tanpa menghilangkan rasa indomienya.  ",Positif,Netral,Netral,Netral,Netral
"
lumayan enak mienya dan murah meriah cm belasan ribu  ",Positif,Netral,Netral,Netral,Positif
"
Ini cuma Mie instan biasa, tapi bumbunya luar biasa, beneran enak ini mie nya  ",Positif,Netral,Netral,Netral,Netral
"
tadi tuh sparing, baku hantam versus rasa penasaran karrna org bilang mie bangladesh wajib cobain!  ",Positif,Netral,Netral,Netral,Netral
"
Suka bawa teman dari luar kota ke sini.Datang, makan, pulang. Gak didesain untuk ngobrol lamaTapi rasa enaknya bertahan lama di lidah  ",Positif,Netral,Netral,Netral,Netral
"
Warung nya penuh dikerumuni anak muda, bagi Indomie lovers bisa kunjungi tempat ini. Tapi pengamen meraja lela, dan pengemis membuat tempat ini tidak nyaman. Orang mondar mandir, dan rasa Mie nya biasa aja sih. Tapi kok bisa rame?  ",Netral,Netral,Netral,Negatif,Netral
"
Adalah salah satu warumg makan yang nyaman yang terletak di kota medan warung ini buka 24 jam banyak menu yang di tawarkan salah satunya adalah mie banglades mie ini cukup enak dan nyamii dan lagi harganya terjangkau murah meriah loh selain makanan di sini ada juga minuman seperti jus, kopi dan minuman lainnya, ""semoga bermanfaat""  ",Positif,Positif,Netral,Positif,Positif
"
Rame,, padahal menunya cuma indomie doank.. Ada sate kerang, tapi gag sempat nyobain.. Sepertinya enak juga sate kerangnya.. ",Netral,Netral,Netral,Positif,Netral
"
Makanannya enak..variasi jus bnyk..cepat dilayani  ",Positif,Positif,Positif,Netral,Netral
"
Harganya terjangkau, rasanya enak, tempatnya nyaman. Favorit disini mie indomie. Cocok buat nongkrong, kumpul bareng temen. Jadi tempat tongkrongan yang ramah dikantong, gak bikin kantong jebol. Tempatnya lumayan rame didatangi anak muda  ",Positif,Netral,Netral,Positif,Positif
"
Maknyusss rasanyaa..Pelayan ramah, makanan cepet datang walaupun rame  ",Positif,Netral,Positif,Netral,Netral
"
Warung indomie yang sekarang wajib dikunjungi kalau lagi ke medan. Menu nya cuman 1 : indomie. Menu paling terkenal disini adalah indomie bangladesh, yaitu indomie goreng yang tidak terlalu kering.  ",Positif,Netral,Netral,Netral,Netral
"
Menu idola andalan nya yaitu indomie bangladesh suer dsni tiap hari selalu penuh,apalagi malam minggu susah sekali untuk dapat parkir.. untuk harga mie bangladesh cuma 10rb perporsi,tempat bersih,pelayanan cepat,abang nya ramah,walaupun harus antri rela lah ",Positif,Netral,Positif,Positif,Positif
"
Indomie khas bangladesh yg kaya akan rempah"". Sekaligus tempat nongkrong malam  ",Positif,Netral,Netral,Netral,Netral
"
Makan micin disini tempat y yang enak. G ada dua y. Mantaplah pokoknya. Tp mungkin kipas angin y ditambah biar lebih adem duduknya didalam. Terima kasih  ",Positif,Netral,Netral,Netral,Netral
"
tempat yang nyaman, harga makanannya juga terjangkau, makanannya juga enak enak ",Positif,Netral,Netral,Positif,Positif
"
Saya suka tempatnya dan keramahan serta menunya sesuai dgn selera saya  ",Positif,Netral,Positif,Positif,Netral
"
Tempat makan mie Bangladesh yang enak sekaligus dengan atmosfir makan dengan keramaian.  ",Positif,Netral,Netral,Netral,Netral
"
Rekomendasi mie ter enak di Medan..  tidak rugi mampir dan pelayanannya cepat tidak harus ngantri lama.  ",Positif,Netral,Positif,Netral,Netral
"
Take away cepat. Rasa enak..buka 24 jam  ",Positif,Netral,Positif,Netral,Netral
"
Tempat nongkrong paling nikmat  ",Netral,Netral,Netral,Positif,Netral
"
TERLALU CINTA SAMA TEMPAT INI. Seenak itu Masakannya. Tempat nya sederhana, rasanya OK Bangetttt. Nagih kesini terusss....  ",Positif,Netral,Netral,Positif,Netral
"
First timer. Enak juga. Lebih milih lokasi yg di sebrang yang terbuka, lebih adem  ",Positif,Netral,Netral,Positif,Netral
"
Mienya enak. Pelayanannya juga baik, penyajian makanannya juga cepat, tempatnya bersih dan banyak tempat duduk, luas juga. Warung ini juga mengijinkan bawa minuman dari luar. Puas dan enak deh pokonya harga juga sangat terjangkau  ",Positif,Netral,Positif,Positif,Positif
"
Indomieeee nya ajiiiib, must try kalau di Medan, asyiiik buat nongkrong, ngeteh, ngopi , dll sambil kerja  ",Positif,Positif,Netral,Positif,Netral
"
mie acehnya Bangladesh nya enak, boleh coba  ",Positif,Netral,Netral,Netral,Netral
"
Warkop Agem udah terkenal lah ya. Selalu rame, pelayanan baik, mie bangladeshnya dah pasti enak, Risolnya juga enak.Kalau dah langganan di Agem gini ada dpt  kartu member ga sih soalnya tiap pulang kerja makan di Agem terus. ‚  ",Positif,Netral,Positif,Netral,Netral
"
Tempat nongkrong sambil makan indomie bangladesh paling top...  ",Positif,Netral,Netral,Positif,Netral
"
Makanan mi instant khas aceh terbaik...bangla...murah dan nikmat...  ",Positif,Netral,Netral,Netral,Positif
"
Indomie beceknya sih ok...  Cuman tempat nya agak panas yah.. ",Positif,Netral,Netral,Negatif,Netral
"
Menikmati keramaiannya,bukan mie nya..😅 ",Netral,Netral,Netral,Positif,Netral
"
Makanannya enak, pelayanannya cepat, dan harganya murah ",Positif,Netral,Positif,Netral,Positif
"
Nikmat dan assoi ... kopi tarek, mie aceh, risol,  semua pass dilidah ...!! ",Positif,Positif,Netral,Netral,Netral
"
tempat terbaik makan indomie ",Positif,Netral,Netral,Positif,Netral
"
The best Indomie everrrr 🤤🤤😅 ",Positif,Netral,Netral,Netral,Netral
"
masakan kurang josss.apa ganti koki yaaa...? ",Negatif,Netral,Netral,Netral,Netral
"
Memang enyak enyak enyak. ",Positif,Netral,Netral,Netral,Netral
"

Parkir sempit...pilihan rasa mie banyak... ",Positif,Netral,Netral,Negatif,Netral
"
Mie bangladesh nya enak ..Kalo udah duduk disini betah   ",Positif,Netral,Netral,Positif,Netral
"
Kopi tariknya mantap  ",Netral,Positif,Netral,Netral,Netral
"
Mie Bangladesh yang ngangenin! Kalau ke Medan jangan lupa mampir ke resto ini!!!  ",Positif,Netral,Netral,Positif,Netral
"
Lumayan lah untuk rasanya, kalau vibes kurang sih  ",Netral,Netral,Netral,Negatif,Netral
"
Mie bangladesh dan teh tarik plus risol,.suasana ok untuk yg rindu suasana warkop depan harapan dulu, pelayanan cepat  ",Positif,Positif,Positif,Positif,Netral
"
Sederhana tapi enak, warbiasa enaknya, harga terjangkau.Rekomendasi lah... Biarkan lidah yang ngerasakan.  ",Positif,Netral,Netral,Netral,Positif
"
Kalau ini gak usah ditanya lagi rasanya. Dijamin gila lo . Y gila harga murahnya . Nongki yg seru. Biasanya disini para pencinta outfit ke sini lo. Makanan yg enakan . Terus yeee. Harganya juga terjangkau. Dan jangan salah sepanjang jalan banyak wisata kuliner dengan brending mie banglades  ",Positif,Netral,Netral,Positif,Positif
